BGF리테일(282330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-11,188500,193500,187000,192500,16611,3327152.0,17283906.0
2019-07-12,195000,208000,189500,194500,66238,3361720.0,17283906.0
2019-07-15,192500,195000,191000,192000,25278,3318510.0,17283906.0
2019-07-16,193500,201000,191000,199500,47886,3448139.0,17283906.0
2019-07-17,200000,203500,195000,203500,26145,3517275.0,17283906.0
2019-07-18,200500,203500,197000,203500,21833,3517275.0,17283906.0
2019-07-19,203500,209000,203000,208000,18075,3595052.0,17283906.0
2019-07-22,205000,207500,199500,199500,21991,3448139.0,17283906.0
2019-07-23,200000,206000,198000,204500,17040,3534559.0,17283906.0
2019-07-24,202500,207500,202500,206500,11019,3569127.0,17283906.0
2019-07-25,205500,207000,200500,202000,15749,3491349.0,17283906.0
2019-07-26,202000,204500,200500,201500,17902,3482707.0,17283906.0
2019-07-29,200000,205000,199000,202000,14945,3491349.0,17283906.0
2019-07-30,205000,207000,200000,206500,17912,3569127.0,17283906.0
